Id,Institution,"Student Residence","Street Number and Name",City,Province,"Postal Code"
3,"Albert College","Baker House","160 Dundas Street West",Belleville,ON,"K8P 1A6"
4,"Albert College","Graham Hall","160 Dundas Street West",Belleville,ON,"K8P 1A6"
5,"Albert College","Victoria Manor","28 Highland Avenue",Belleville,ON,"K8P 3P9"
6,"Alfred Campus of the University of Guelph",,"PO Box 580, 31 St-Paul Street",Alfred,ON,"K0B 1A0"
7,"Algoma University","Algoma Dormitory","1520 Queen Street East","Sault Ste. Marie",ON,"P6A 2G4"
8,"Algoma University","Spirit Village Residence","1520 Queen Street East","Sault Ste. Marie",ON,"P6A 2G4"
9,"Algonquin College","Phase I, II, III","1385 Woodroffe Avenue",Nepean,ON,"K2G 1V8"
10,"Al-Rashid Islamic Institute",,"18345 Country Road 2",Cornwall,ON,"K6H 5R5"
11,"Appleby College","Baillie/Colley House","540 Lakeshore Road West",Oakville,ON,"L6K 3P1"
12,"Appleby College","Powell House","540 Lakeshore Road West",Oakville,ON,"L6K 3P1"
13,"Appleby College","Walker House","540 Lakeshore Road West",Oakville,ON,"L6K 3P1"
14,"Ashbury College","Boy's Residence","212 Springfiled Road",Ottawa,ON,"K1M 0K9"
15,"Ashbury College","Gillan Residence","334 Mariposa Avenue",Ottawa,ON,"K1M 0T3"
16,"Ashbury College","Maple Residence","1 Elmdale Lane",Ottawa,ON,"K1M 2H4"
17,"Branksome Hall",Qwe,"1 Elm Avenue",Toronto,ON,"M4W 1N4"
18,"Branksome Hall",,"3 Elm Avenue",Toronto,ON,"M4W 1N4"
19,"Branksome Hall",,"4 Elm Avenue",Toronto,ON,"M4W 1N4"
20,"Brock University",DeCew,"1812 Sir Isaac Way","St. Catharines",ON,"L2S 3A1"
21,"Brock University",Earp,"1812 Sir Isaac Way","St. Catharines",ON,"L2S 3A1"
22,"Brock University",Lowenberger,"1812 Sir Isaac Way","St. Catharines",ON,"L2S 3A1"
23,"Brock University",QuarryView,"51 John Macdonnel Street","St. Catharines",ON,"L2T 4E4"
24,"Brock University",Vallee,"1812 Sir Isaac Way","St. Catharines",ON,"L2S 3A1"
25,"Brock University",Village,"1812 Sir Isaac Way","St. Catharines",ON,"L2S 3A1"
26,"Brock University","Gateway Suites","49 John Macdonnel Street","St. Catharines",ON,"L2T 4E4"
27,"Bronto College",,"88 Bronte College Court",Mississauga,ON,"L5B 1M9"
28,"Cambrian College of Applied Arts and Technology",Dorms,"1390 Barrydowne Road",Sudbury,ON,"P3A 6B9"
29,"Cambrian College of Applied Arts and Technology",Townhouses,"1390 Barrydowne Road",Sudbury,ON,"P3A 6B9"
30,"Canada's National Ballet School",,"105 Maitland Street",Toronto,ON,"M4K 1G5"
31,"Canadore College",,"100 College Drive","North Bay",ON,"P1B 8G4"
32,"Canadore College",,"15 College Drive","North Bay",ON,"P1B 8L7"
33,"Carleton University","Dundas/Stormont House","1125 Colonel By Drive",Ottawa,ON,"K1S 5B6"
34,"Carleton University","Frontenac House","1125 Colonel By Drive",Ottawa,ON,"K1S 5B6"
35,"Carleton University","Glengarry House","1125 Colonel By Drive",Ottawa,ON,"K1S 5B6"
36,"Carleton University","Grenville House","1125 Colonel By Drive",Ottawa,ON,"K1S 5B6"
37,"Carleton University","Lanark House","1125 Colonel By Drive",Ottawa,ON,"K1S 5B6"
38,"Carleton University","Leeds Residence","1125 Colonel By Drive",Ottawa,ON,"K1S 5B6"
39,"Carleton University","Lennox and Addington House","1125 Colonel By Drive",Ottawa,ON,"K1S 5B6"
40,"Carleton University","Prescott Residence","1125 Colonel By Drive",Ottawa,ON,"K1S 5B6"
41,"Carleton University","Renfrew House","1125 Colonel By Drive",Ottawa,ON,"K1S 5B6"
42,"Carleton University","Russell House","1125 Colonel By Drive",Ottawa,ON,"K1S 5B6"
43,"Centennial College",,"940 Progress Avenue",Scarborough,ON,"M1G 3T5"
44,"College Boréal",,"21 Lasalle Boulevard",Sudbury,ON,"P3A 6B1"
45,"Conestoga College Institute of Technology and Advance Learning","Doon Campus","99 Conestoga College Boulevard",Kitchener,ON,"N2P 2N5"
46,"Confederation College","Sibley Hall","PO Box 398, William Street","Thunder Bay",ON,"P7C 4W1"
47,"Confederation College","Spruce House","2016 Red Lake Road, Box 398","Thunder Bay",ON,"P7C 4W1"
48,"Confederation College","Cedar House","2016 Red Lake Road, Box 398","Thunder Bay",ON,"P7C 4W1"
49,"Durham College","Simcoe Residence","1910 Simcoe Street North",Oshawa,ON,"L1H 4Y3"
50,"Durham College","South Village Residence","32 Commencement Drive",Oshawa,ON,"L1H 8G3"
51,"Emmanuel Bible College","Lehman Hall","100 Fergus Avenue",Kitchener,ON,"N2A 2H2"
52,"Emmanuel Bible College","Warder Hall","100 Fergus Avenue",Kitchener,ON,"N2A 2H2"
53,"Emmanuel Bible College","Wideman Hall","100 Fergus Avenue",Kitchener,ON,"N2A 2H2"
54,"Faithway Baptist College of Canada","Ladies Dormitories","1964 Salem Road",Ajax,ON,"L1T 4V3"
55,"Faithway Baptist College of Canada","Men Dormitories","1964 Salem Road",Ajax,ON,"L1T 4V3"
56,"Fanshawe College","Falcon House","1001 Fanshawe College Boulevard",London,ON,"N5Y 5R6"
57,"Fanshawe College","Kestrel Court","900 Fanshawa College Boulevard",London,ON,"N5V 3C5"
58,"Fanshawe College","Merlin House","1001 Fanshawe College Boulevard",London,ON,"N5Y 5R6"
59,"Fanshawe College","Peregrine House","1001 Fanshawe College Boulevard",London,ON,"N5Y 5R6"
60,"Georgian College","Student Residence","101 Georgian Drive",Barrie,ON,"L4M 6Z5"
61,"Havergal College",,"1451 Avenue Road","North York",ON,"M5N 2H9"
62,"Heritage College & Seminary",,"175 Holiday Inn Drive",Cambridge,ON,"N3C 3T2"
63,"Holy Family Achievement School of Académie Ste-Cécile International School",,"925 Cousineau Road",Windsor,ON,"N9G 1V8"
64,"Humber College","Lakeshore Campus Building R","3199 Lakeshore Boulevard West",Etobicoke,ON,"M8V 1K8"
65,"Humber College","North Campus Building S","201, 203 Humber College Boulevard",Etobicoke,ON,"M9W 5L7"
66,"Humber College","North Campus Building T","201, 203 Humber College Boulevard",Etobicoke,ON,"M9W 5L7"
67,"Institute for Advance Talmudic Study",,"7 Fraserwood Avenue",Toronto,ON,"M6B 2N3"
68,"Institute for Advance Talmudic Study",,"423 Lawrence Avenue West",Toronto,ON,"M5M 1C3"
69,"J. Addison School",,"2 Valleywood Drive",Markham,ON,"L3R 8H3"
70,"Kingway College","Bona Vista Hall","1220 Leland Road",Oshawa,ON,"L1K 2H4"
71,"Kingway College","Ryan Hall","125 Kingsway College Drive",Oshawa,ON,"L1K 2H4"
72,"La Cité collégiale","La Résidence de La Cité collégiale","400 Den Haag Street",Ottawa,ON,"K1K 4W8"
73,"Lakefield College School","Cooper House","4391 County Road 29",Lakefield,ON,"K0L 2H0"
74,"Lakefield College School","Grove House","4391 County Road 29",Lakefield,ON,"K0L 2H0"
75,"Lakefield College School","Lower Colebrook House","4391 County Road 29",Lakefield,ON,"K0L 2H0"
76,"Lakefield College School","Matthews House","4391 County Road 29",Lakefield,ON,"K0L 2H0"
77,"Lakefield College School","Memorial House","4391 County Road 29",Lakefield,ON,"K0L 2H0"
78,"Lakefield College School","Moodie House","4391 County Road 29",Lakefield,ON,"K0L 2H0"
79,"Lakefield College School","Ondaatje House","4391 County Road 29",Lakefield,ON,"K0L 2H0"
80,"Lakefield College School","Rashleigh House","4391 County Road 29",Lakefield,ON,"K0L 2H0"
81,"Lakefield College School","Ryder House","4391 County Road 29",Lakefield,ON,"K0L 2H0"
82,"Lakefield College School","Upper Colebrook House","4391 County Road 29",Lakefield,ON,"K0L 2H0"
