Institution,"Student Residence","Street Number and Name",City,Province,"Postal Code"
"Albert College","Baker House","160 Dundas Street West",Belleville,ON,"K8P 1A6"
"Albert College","Graham Hall","160 Dundas Street West",Belleville,ON,"K8P 1A6"
"Albert College","Victoria Manor","28 Highland Avenue",Belleville,ON,"K8P 3P9"
"Alfred Campus of the University of Guelph",,"PO Box 580, 31 St-Paul Street",Alfred,ON,"K0B 1A0"
"Algoma University","Algoma Dormitory","1520 Queen Street East","Sault Ste. Marie",ON,"P6A 2G4"
"Algoma University","Spirit Village Residence","1520 Queen Street East","Sault Ste. Marie",ON,"P6A 2G4"
"Algonquin College","Phase I, II, III","1385 Woodroffe Avenue",Nepean,ON,"K2G 1V8"
"Al-Rashid Islamic Institute",,"18345 Country Road 2",Cornwall,ON,"K6H 5R5"
"Appleby College","Baillie/Colley House","540 Lakeshore Road West",Oakville,ON,"L6K 3P1"
"Appleby College","Powell House","540 Lakeshore Road West",Oakville,ON,"L6K 3P1"
"Appleby College","Walker House","540 Lakeshore Road West",Oakville,ON,"L6K 3P1"
"Ashbury College","Boy's Residence","212 Springfiled Road",Ottawa,ON,"K1M 0K9"
"Ashbury College","Gillan Residence","334 Mariposa Avenue",Ottawa,ON,"K1M 0T3"
"Ashbury College","Maple Residence","1 Elmdale Lane",Ottawa,ON,"K1M 2H4"
"Branksome Hall",,"1 Elm Avenue",Toronto,ON,"M4W 1N4"
"Branksome Hall",,"3 Elm Avenue",Toronto,ON,"M4W 1N4"
"Branksome Hall",,"4 Elm Avenue",Toronto,ON,"M4W 1N4"
"Brock University",DeCew,"1812 Sir Isaac Way","St. Catharines",ON,"L2S 3A1"
"Brock University",Earp,"1812 Sir Isaac Way","St. Catharines",ON,"L2S 3A1"
"Brock University",Lowenberger,"1812 Sir Isaac Way","St. Catharines",ON,"L2S 3A1"
"Brock University",QuarryView,"51 John Macdonnel Street","St. Catharines",ON,"L2T 4E4"
"Brock University",Vallee,"1812 Sir Isaac Way","St. Catharines",ON,"L2S 3A1"
"Brock University",Village,"1812 Sir Isaac Way","St. Catharines",ON,"L2S 3A1"
"Brock University","Gateway Suites","49 John Macdonnel Street","St. Catharines",ON,"L2T 4E4"
"Bronto College",,"88 Bronte College Court",Mississauga,ON,"L5B 1M9"
"Cambrian College of Applied Arts and Technology",Dorms,"1390 Barrydowne Road",Sudbury,ON,"P3A 6B9"
"Cambrian College of Applied Arts and Technology",Townhouses,"1390 Barrydowne Road",Sudbury,ON,"P3A 6B9"
"Canada's National Ballet School",,"105 Maitland Street",Toronto,ON,"M4K 1G5"
"Canadore College",,"100 College Drive","North Bay",ON,"P1B 8G4"
"Canadore College",,"15 College Drive","North Bay",ON,"P1B 8L7"
"Carleton University","Dundas/Stormont House","1125 Colonel By Drive",Ottawa,ON,"K1S 5B6"
"Carleton University","Frontenac House","1125 Colonel By Drive",Ottawa,ON,"K1S 5B6"
"Carleton University","Glengarry House","1125 Colonel By Drive",Ottawa,ON,"K1S 5B6"
"Carleton University","Grenville House","1125 Colonel By Drive",Ottawa,ON,"K1S 5B6"
"Carleton University","Lanark House","1125 Colonel By Drive",Ottawa,ON,"K1S 5B6"
"Carleton University","Leeds Residence","1125 Colonel By Drive",Ottawa,ON,"K1S 5B6"
"Carleton University","Lennox and Addington House","1125 Colonel By Drive",Ottawa,ON,"K1S 5B6"
"Carleton University","Prescott Residence","1125 Colonel By Drive",Ottawa,ON,"K1S 5B6"
"Carleton University","Renfrew House","1125 Colonel By Drive",Ottawa,ON,"K1S 5B6"
"Carleton University","Russell House","1125 Colonel By Drive",Ottawa,ON,"K1S 5B6"
"Centennial College",,"940 Progress Avenue",Scarborough,ON,"M1G 3T5"
"College Boréal",,"21 Lasalle Boulevard",Sudbury,ON,"P3A 6B1"
"Conestoga College Institute of Technology and Advance Learning","Doon Campus","99 Conestoga College Boulevard",Kitchener,ON,"N2P 2N5"
"Confederation College","Sibley Hall","PO Box 398, William Street","Thunder Bay",ON,"P7C 4W1"
"Confederation College","Spruce House","2016 Red Lake Road, Box 398","Thunder Bay",ON,"P7C 4W1"
"Confederation College","Cedar House","2016 Red Lake Road, Box 398","Thunder Bay",ON,"P7C 4W1"
"Durham College","Simcoe Residence","1910 Simcoe Street North",Oshawa,ON,"L1H 4Y3"
"Durham College","South Village Residence","32 Commencement Drive",Oshawa,ON,"L1H 8G3"
"Emmanuel Bible College","Lehman Hall","100 Fergus Avenue",Kitchener,ON,"N2A 2H2"
"Emmanuel Bible College","Warder Hall","100 Fergus Avenue",Kitchener,ON,"N2A 2H2"
"Emmanuel Bible College","Wideman Hall","100 Fergus Avenue",Kitchener,ON,"N2A 2H2"
"Faithway Baptist College of Canada","Ladies Dormitories","1964 Salem Road",Ajax,ON,"L1T 4V3"
